ax,ay,az,gx,gy,gz
-68,-315,4355,-799,658,-279
-169,-275,4342,-858,529,-281
-242,-192,4212,-879,612,-274
-164,-289,4180,-753,808,-237
-89,-283,4128,-684,747,-222
-168,-275,4091,-658,639,-163
-183,-245,4010,-694,550,-85
-107,-305,4066,-649,682,-4
-125,-303,4097,-627,606,32
-297,-218,4045,-601,467,52
-261,-317,4060,-523,362,-51
-161,-398,4061,-488,185,-169
-210,-259,3837,-479,-73,-251
-271,-210,3677,-418,-59,-311
-355,-213,3621,-342,264,-284
-363,-215,3754,-83,822,-190
-308,-266,3752,-4,1036,-152
-327,-308,3772,-12,1018,-157
-270,-314,3746,-157,723,-262
-175,-211,3454,-250,487,-285
-112,-112,3162,-247,354,-247
-168,-86,2991,-52,397,-156
-196,-98,2902,135,431,-221
-107,-134,2964,307,535,-181
-171,-130,3035,400,747,-33
-179,-228,3188,493,801,27
-146,-221,3286,451,661,-4
-171,-184,3268,388,472,-114
-40,-194,3269,407,339,-252
24,-279,3427,411,357,-238
-17,-292,3488,321,212,-225
-74,-195,3229,175,-21,-269
6,-59,3081,206,0,-285
-52,22,2945,393,81,-303
59,-81,3080,755,200,-318
239,-19,3166,884,124,-273
277,-43,3378,965,-30,-178
-122,-121,3756,860,-573,-164
-210,-114,3923,720,-856,-251
-343,-101,4145,656,-827,-259
-417,-181,4328,699,-286,-256
-190,-48,4409,827,39,-293
36,-242,4408,983,254,-211
152,-233,4225,967,96,-106
95,-39,3893,867,-98,72
130,-19,3939,867,-256,8
254,107,3992,930,-383,-6
50,79,3947,624,-445,366
-114,98,4104,1225,-560,229
-134,28,4390,1394,-210,161
-177,2,4530,1116,73,208
-242,68,4431,901,-18,140
-220,228,4291,749,-286,-55
38,559,4157,716,-680,-189
166,577,4199,768,-799,-84
310,423,4384,852,-908,76
195,313,4809,863,-764,449
17,272,4972,811,-603,567
-46,273,5033,783,-502,550
-149,340,4989,771,-577,365
-237,497,5047,759,-598,218
-350,620,5236,721,-531,104
-353,492,5246,349,-628,-41
-266,-240,5365,-2427,-2414,-286
14,246,4978,-1500,-2101,-536
-188,513,4650,-696,-1143,-480
-33,94,4492,54,-105,-166
-162,131,4477,479,201,19
-386,235,4488,865,690,8
-543,-259,5741,397,414,-47
-911,-337,5972,-668,-300,-189
-1309,-78,5879,-1312,-474,-498
-1130,109,5533,-1666,-576,-1105
