ax,ay,az,gx,gy,gz
1307,128,4630,890,4447,-1097
455,-101,4119,140,2841,-913
396,108,4127,86,2461,-960
467,-20,4165,82,2469,-837
423,-78,4200,30,1804,-574
286,51,4156,12,1284,-438
392,54,4173,14,830,-283
405,3,4155,4,324,-293
356,-48,4179,2,-58,-249
469,-32,4159,1,-625,-231
444,45,4002,94,-766,73
303,-140,4168,140,3,326
300,-153,4133,116,138,378
60,-32,4182,109,598,389
35,225,4176,64,801,319
329,-294,4146,29,1070,233
188,-82,4164,26,454,124
203,169,4161,17,475,49
271,481,4130,18,275,185
460,217,4167,35,351,300
455,259,4172,33,173,323
452,246,4146,22,72,254
396,176,4169,18,9,170
272,170,4153,-2,-77,75
263,117,4136,-4,3,83
216,79,4172,-1,95,121
224,74,4151,-7,141,138
238,106,4153,-6,172,103
236,64,4156,-5,183,86
226,83,4166,2,159,78
238,105,4149,-1,86,59
259,95,4157,-2,98,24
280,114,4175,-3,75,14
250,91,4159,-9,102,1
254,80,4147,2,150,4
250,80,4152,2,189,2
186,83,4157,2,148,4
152,80,4150,1,162,2
175,71,4165,1,129,4
211,69,4159,-3,85,3
260,76,4163,-5,55,0
228,87,4162,-4,40,1
192,91,4176,-2,71,-3
195,86,4158,-4,47,-7
228,81,4164,-2,77,-6
222,72,4155,-3,54,-4
210,68,4150,4,60,-8
214,70,4166,11,71,-3
181,82,4152,12,120,-4
199,93,4167,5,137,-8
201,82,4157,-4,107,-11
207,84,4150,-4,92,-8
210,108,4157,3,48,-9
191,144,4166,6,0,-35
190,10,4157,15,14,-30
216,63,4146,22,-22,-6
206,71,4164,18,-34,-1
210,75,4162,14,7,1
212,77,4165,5,53,0
201,79,4154,6,75,1
170,67,4151,6,88,2
169,82,4165,6,166,-5
187,78,4158,7,149,-1
173,77,4162,4,124,-2
179,95,4178,-3,54,-1
221,69,4151,-1,52,0
215,67,4155,3,25,3
198,76,4157,1,2,5
183,84,4152,2,151,-8
177,83,4166,0,212,-12
146,80,4161,0,253,-17
143,74,4161,-1,330,-19
170,55,4176,-3,353,-24
188,47,4159,-9,396,-48
202,69,4155,-12,340,-132
152,74,4164,-5,334,-158
109,86,4149,-2,285,-148
