,-46,4155,-44,69,132
43,283,4146,226,231,-35
-24,210,4139,276,81,70
-71,208,4064,252,-12,138
23,138,3993,225,15,156
-33,87,4073,175,-99,203
-172,140,4145,174,-154,197
-300,146,4142,215,-81,184
-277,187,4294,250,30,158
-216,130,4266,232,-40,195
-227,128,4186,280,-239,354
-250,88,4138,333,-359,498
-259,106,4107,296,-392,485
-162,155,4129,182,-314,312
-43,128,4148,130,-213,244
-51,97,4128,127,-233,211
-253,113,4198,161,-248,174
-218,75,4210,169,-172,80
-204,87,4209,143,-190,-2
-286,194,4328,173,-288,-5
-308,161,4273,245,-340,39
-336,94,4221,307,-424,119
-334,157,4191,311,-421,110
-270,95,4122,282,-304,29
-193,97,4041,219,-244,-36
-211,178,4076,226,-97,-115
-191,153,3992,215,18,-203
-243,50,3909,193,-1,-217
-315,123,3994,99,-158,-205
-268,186,4019,63,-196,-215
-243,217,4049,68,-233,-162
-289,212,4082,99,-301,-118
-340,264,4098,109,-237,-165
-340,227,4096,142,-74,-240
-355,181,4136,133,20,-284
-325,208,4153,71,5,-323
-342,254,4149,88,-10,-278
-321,276,4144,106,65,-214
-298,285,4167,132,174,-116
-251,337,4223,144,49,-110
-253,336,4184,213,80,-129
-281,196,4079,305,18,-139
-334,167,4047,309,-109,-109
-389,197,4148,256,-146,-106
-314,199,4134,165,-104,-145
-300,256,4251,140,-158,-112
-284,299,4262,166,-135,-116
-281,194,4151,231,-75,-169
-254,197,4188,210,-77,-172
-248,249,4270,211,-18,-146
-208,225,4193,295,14,-79
-284,232,4230,301,-52,-26
-262,217,4186,308,-14,-69
-226,119,4085,262,-12,-101
-290,160,4185,236,-60,-71
-292,116,4134,248,30,-105
-345,25,4076,224,46,-119
-314,89,4188,122,-16,-158
-172,157,4216,89,-4,-194
-145,158,4231,125,-81,-139
-371,187,4123,267,-115,-58
-453,76,3992,332,-73,-50
-467,48,3936,294,-95,-32
-300,206,3993,132,-61,50
-144,253,4061,48,43,33
40,295,4093,11,22,-12
89,410,4176,50,-117,-61
-55,408,4184,117,-98,-76
-214,286,4144,195,-65,-134
-228,350,4107,152,-121,-218
-224,322,4189,122,-148,-207
-225,390,4103,88,-225,-179
-292,356,4216,224,-183,-120
-210,331,4065,223,-219,-118
-228,372,4131,226,-260,-52
-147,372,4120,238,-184,-3
-109,411,4089,210,-226,1
-145,412,4087,214,-215,-7
-147,349,4021,191,-152,-65
-279,319,4029,106,-223,-104
-362,376,4107,61,-205,-147
-292,408,4179,63,-110,-187
-298,446,4333,48,-109,-177
-328,363,4241,121,-116,-155
-366,326,4251,158,-164,-131
-410,417,4290,180,-268,20
-434,486,4339,203,-249,125
-210,486,4218,215,-146,124
-105,572,4261,230,-258,248
-65,533,4232,271,-154,225
-22,480,4163,243,-100,112
-97,436,4202,283,-33,75
-190,445,4227,246,-22,-34
-227,451,4171,225,58,-162
-281,386,4108,221,121,-235
-278,379,4125,187,98,-224
-84,381,4112,160,62,-192
13,394,4158,187,-92,-3
-17,462,4193,233,-127,61
15,469,4213,268,-129,98
10,485,4200,313,-128,107
-88,483,4159,328,-50,49
-85,441,4089,335,-9,20
-119,369,4065,332,18,24
-160,376,4118,276,19,30
-177,391,4157,228,2,-4
-158,441,4161,213,19,-33
-136,467,4158,266,-53,9
-31,498,4137,263,-76,-3
69,432,4077,277,-103,3
-29,418,4112,316,-199,59
-82,336,3995,340,-103,21
-183,346,3924,233,-155,25
-173,424,3988,100,-62,-73
-43,466,4060,102,-114,-60
-23,507,4185,143,-139,-123
-2,475,4151,217,-166,-177
-54,425,4099,201,-165,-172
-5,382,4048,244,-181,-193
-61,368,4092,169,-169,-402
-89,379,4076,244,-170,-189
-113,278,4038,213,-127,-208
-69,239,3968,199,-222,-141
-156,291,4067,109,-247,-95
-137,261,3975,24,-194,-163
-160,354,4033,-57,-227,-154
-79,557,4290,-92,-116,-194
79,581,4267,-39,-27,-276
141,528,4237,21,-91,-256
129,485,4218,69,-240,-177
63,480,4186,5,-211,-249
